Provinsi,DKI Jakarta,Jawa Barat,Jawa Timur,Sulawesi Selatan,Jawa Tengah,Banten,Bali,Papua,Kalimantan Selatan,Sumatera Selatan,Sumatera Utara,Kepulauan Riau,Sumatera Barat,Kalimantan Utara,DI Yogyakarta,Nusa Tenggara Barat,Kalimantan Timur,Kalimantan Tengah,Sulawesi Tenggara,Riau,Sulawesi Tengah,Lampung,Kalimantan Barat,Sulawesi Utara,Maluku,Jambi,Aceh,Papua Barat,Kep. Bangka Belitung,Sulawesi Barat,Maluku Utara,Bengkulu,Gorontalo,Nusa Tenggara Timur,Lokasi belum diketahui
16 Mar '20,16,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
17 Mar '20,16,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
18 Mar '20,16,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
19 Mar '20,210,26,9,2,12,27,1,0,0,0,2,3,0,0,5,0,3,0,3,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
20 Mar '20,215,41,15,2,12,37,4,0,0,0,2,4,0,0,4,0,10,2,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,13
21 Mar '20,267,55,26,2,14,43,3,0,0,0,2,4,0,0,5,0,9,2,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,10
22 Mar '20,307,59,41,2,15,47,3,2,1,0,2,4,0,0,5,0,9,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,6
23 Mar '20,353,59,41,2,15,56,6,2,1,0,2,4,0,0,5,0,11,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,6
24 Mar '20,424,60,51,4,19,65,6,3,1,1,7,5,0,0,6,1,11,3,3,2,0,1,3,2,1,1,0,0,0,0,1,0,0,0,5
25 Mar '20,463,73,51,13,38,67,9,3,2,1,7,5,0,0,17,2,11,3,3,2,0,1,3,2,1,1,0,0,0,0,1,0,0,0,11
26 Mar '20,515,78,59,27,40,67,9,7,1,1,8,5,3,0,16,2,11,6,3,2,1,3,3,2,1,1,1,0,0,0,1,0,0,0,20
27 Mar '20,598,98,66,29,43,84,9,7,1,1,8,5,5,0,22,2,11,6,3,1,1,4,3,2,1,1,4,2,0,0,1,0,0,0,28
28 Mar '20,627,119,77,33,55,103,9,7,1,2,8,5,5,2,22,2,17,7,3,1,2,4,3,2,1,1,4,2,0,0,1,0,0,0,30
